accelerometer_X,accelerometer_Y,accelerometer_Z
2.322376,3.643975,11.827356
1.781286,4.668694,6.14831
7.963114999999999,-4.113238,1.359907
1.996764,-1.3982139999999998,1.163582
5.185841,-12.143391,4.6878470000000005
11.219229,-10.625467,-8.087613000000001
10.888829,-13.939042,-1.273715
9.902418,-9.667787,-0.110133
8.09719,-20.9349,1.393425
5.655105000000001,-11.573571,-1.106121
12.363658,-18.253393,-21.44247
5.171476,-9.169792,0.407014
-1.92015,-3.648763,0.244209
0.11971,-7.819463000000001,0.234632
4.908114,-11.271901,-2.561796
0.363919,-15.289372,-1.977611
5.0757080000000006,-10.682928,-1.565808
-2.097321,-13.431472,4.252103
4.563349,-10.31901,0.45011
0.8379709999999999,-5.544971,-1.441309
2.5378540000000003,-8.408437,0.277727
2.494758,-5.980716,2.312799
-2.351106,-14.432248,-0.972046
6.540959,-10.903194,-2.03986
5.214572,-10.749966,-6.234501
4.644751,-12.392388,-1.211466
5.923255,-13.977348999999998,-7.785944000000001
5.33907,-9.495404,0.632069
-2.389413,-4.831499,0.938527
-0.21069,-8.872911,0.0430959999999999
4.563349,-10.31901,0.45011
0.8379709999999999,-5.544971,-1.441309
2.5378540000000003,-8.408437,0.277727
2.494758,-5.980716,2.312799
-2.351106,-14.432248,-0.972046
6.540959,-10.903194,-2.03986
5.214572,-10.749966,-6.234501
4.644751,-12.392388,-1.211466
5.923255,-13.977348999999998,-7.785944000000001
5.33907,-9.495404,0.632069
-2.389413,-4.831499,0.938527
-0.21069,-8.872911,0.0430959999999999
1.7573439999999998,-12.737153,-2.384625
0.162806,-2.15957,19.589357
3.974375,-12.349293,-2.097321
7.527369999999999,-20.058622,-16.682798000000002
0.6608,-9.65821,-0.995988
-1.264138,-2.442086,1.407791
-2.964022,-9.203311,-0.967257
-1.556231,-3.122039,1.958457
-4.721366000000001,-8.781932000000001,0.311246
-5.837064,-17.606958,-0.02873
-2.542642,3.423709,21.648373
4.276045,-13.618219,0.1723829999999999
2.767697,-19.268536,-26.3027
-0.871489,-9.80665,-3.428497
-1.599327,-3.878607,3.246538
-5.152322,-9.255983,-1.23062
-9.504981,-17.650055,-0.7661439999999999
-3.045424,-8.494628,-0.8236049999999999
0.009577,-13.235147,-3.557784
-2.992752,-13.637373,-8.944737
-0.670376,-10.611102,-1.091756
-2.3606830000000003,-1.594538,2.011129
-2.331952,-7.671022,-0.35913
-4.395754,-11.573571,-2.03986
-9.993398,1.580173,-11.587936
-3.409343,-13.158532,-3.677494
-14.159308,-18.11453,-20.077776
-3.007117,-7.541735000000001,0.799663
-2.351106,-3.744531,2.513912
-1.517924,-8.513782,0.8523360000000001
1.278504,-8.872911,0.0430959999999999
-1.656788,-10.941502,0.8619129999999999
-3.969586,-13.354857,-3.083732
-1.613692,-9.672575,-5.133168
-0.991199,-9.667787,-1.177947
-2.097321,0.292093,2.767697
-5.655104,-6.488286,-0.933739
-7.345411,-12.717999,-1.838747
0.555455,-10.874464,23.582888
-9.155427,-11.654974,-1.388637
-6.660669,5.214572,-2.8155810000000003
-1.848324,-12.65575,-3.65834
-7.278372999999999,-14.686032999999998,-10.065224
-3.5960910000000004,-9.016563,-1.484405
-2.37026,-1.192312,3.055001
-5.473145,-6.517017,-0.713472
-5.061342,-11.808203,-2.5378540000000003
-2.743755,1.244985,-0.440533
0.80924,-15.897499,-1.666364
-3.356671,-13.153744,-12.804191
1.426944,-5.262455,-0.651223
-0.263362,-6.019023000000001,1.235408
-4.352658,-9.32781,0.713472
-3.955221,-16.49605,3.438074
-2.705448,-7.436389999999999,1.383849
-4.577713,-17.645266,1.944092
7.192182000000001,-25.201366,-16.903064999999998
1.575385,-10.620679,1.58975
-0.02873,-5.425261,0.8236049999999999
3.4189199999999995,-6.675033999999999,1.158794
1.891419,-11.669339,-1.570596
-1.647211,-5.305551,9.169792
3.399767,-15.586253,-0.8044520000000001
4.572925,0.1819589999999999,32.59945
5.60722,-13.005303,-0.378284
3.672706,-10.874464,-7.058106
1.939303,-9.097966,-2.782062
-0.344765,-4.161122,1.23062
-0.387861,-9.174581,3.031059
-7.359775999999999,-15.322891,0.8523360000000001
11.113884,-19.603724,-3.921702
5.1092260000000005,-15.452178,-1.47004
6.373365,-11.741165,-8.226476
3.2896330000000003,-9.993398,-0.3830719999999999
-2.978387,-3.0502130000000003,1.273715
-4.34787,-9.92636,-1.642422
-4.256891,-17.166426,-2.054225
-12.277467,6.435614,2.853889
1.426944,-5.262455,-0.651223
-0.263362,-6.019023000000001,1.235408
-4.352658,-9.32781,0.713472
-3.955221,-16.49605,3.438074
-2.705448,-7.436389999999999,1.383849
-4.577713,-17.645266,1.944092
7.192182000000001,-25.201366,-16.903064999999998
1.575385,-10.620679,1.58975
-0.02873,-5.425261,0.8236049999999999
3.4189199999999995,-6.675033999999999,1.158794
1.891419,-11.669339,-1.570596
-1.647211,-5.305551,9.169792
3.399767,-15.586253,-0.8044520000000001
4.572925,0.1819589999999999,32.59945
5.60722,-13.005303,-0.378284
3.672706,-10.874464,-7.058106
1.939303,-9.097966,-2.782062
-0.344765,-4.161122,1.23062
-0.387861,-9.174581,3.031059
-7.359775999999999,-15.322891,0.8523360000000001
11.113884,-19.603724,-3.921702
5.1092260000000005,-15.452178,-1.47004
6.373365,-11.741165,-8.226476
3.2896330000000003,-9.993398,-0.3830719999999999
-2.978387,-3.0502130000000003,1.273715
-4.34787,-9.92636,-1.642422
-4.256891,-17.166426,-2.054225
-12.277467,6.435614,2.853889
-7.8865,-16.82645,4.912902
4.13718,-23.673866,-10.807426
-4.352658,-9.32781,0.713472
-3.955221,-16.49605,3.438074
-2.705448,-7.436389999999999,1.383849
-4.577713,-17.645266,1.944092
7.192182000000001,-25.201366,-16.903064999999998
1.575385,-10.620679,1.58975
-0.02873,-5.425261,0.8236049999999999
3.4189199999999995,-6.675033999999999,1.158794
1.891419,-11.669339,-1.570596
-1.647211,-5.305551,9.169792
3.399767,-15.586253,-0.8044520000000001
4.572925,0.1819589999999999,32.59945
5.60722,-13.005303,-0.378284
3.672706,-10.874464,-7.058106
1.939303,-9.097966,-2.782062
-0.344765,-4.161122,1.23062
-0.387861,-9.174581,3.031059
-7.359775999999999,-15.322891,0.8523360000000001
11.113884,-19.603724,-3.921702
5.1092260000000005,-15.452178,-1.47004
6.373365,-11.741165,-8.226476
3.2896330000000003,-9.993398,-0.3830719999999999
-2.978387,-3.0502130000000003,1.273715
-4.34787,-9.92636,-1.642422
-4.256891,-17.166426,-2.054225
-12.277467,6.435614,2.853889
-7.8865,-16.82645,4.912902
4.13718,-23.673866,-10.807426
2.523489,-10.070012,0.158017
-0.143652,-3.572149,1.862689
-2.705448,-7.436389999999999,1.383849
-4.577713,-17.645266,1.944092
7.192182000000001,-25.201366,-16.903064999999998
1.575385,-10.620679,1.58975
-0.02873,-5.425261,0.8236049999999999
3.4189199999999995,-6.675033999999999,1.158794
1.891419,-11.669339,-1.570596
-1.647211,-5.305551,9.169792
3.399767,-15.586253,-0.8044520000000001
4.572925,0.1819589999999999,32.59945
5.60722,-13.005303,-0.378284
3.672706,-10.874464,-7.058106
1.939303,-9.097966,-2.782062
-0.344765,-4.161122,1.23062
-0.387861,-9.174581,3.031059
-7.359775999999999,-15.322891,0.8523360000000001
11.113884,-19.603724,-3.921702
5.1092260000000005,-15.452178,-1.47004
6.373365,-11.741165,-8.226476
3.2896330000000003,-9.993398,-0.3830719999999999
-2.978387,-3.0502130000000003,1.273715
-4.34787,-9.92636,-1.642422
-4.256891,-17.166426,-2.054225
-12.277467,6.435614,2.853889
-7.8865,-16.82645,4.912902
4.13718,-23.673866,-10.807426
2.523489,-10.070012,0.158017
-0.143652,-3.572149,1.862689
1.221043,-7.963114,-0.737414
6.105214,-8.504205,0.306458
7.192182000000001,-25.201366,-16.903064999999998
1.575385,-10.620679,1.58975
-0.02873,-5.425261,0.8236049999999999
3.4189199999999995,-6.675033999999999,1.158794
1.891419,-11.669339,-1.570596
-1.647211,-5.305551,9.169792
3.399767,-15.586253,-0.8044520000000001
4.572925,0.1819589999999999,32.59945
5.60722,-13.005303,-0.378284
3.672706,-10.874464,-7.058106
1.939303,-9.097966,-2.782062
-0.344765,-4.161122,1.23062
-0.387861,-9.174581,3.031059
-7.359775999999999,-15.322891,0.8523360000000001
11.113884,-19.603724,-3.921702
5.1092260000000005,-15.452178,-1.47004
6.373365,-11.741165,-8.226476
3.2896330000000003,-9.993398,-0.3830719999999999
-2.978387,-3.0502130000000003,1.273715
-4.34787,-9.92636,-1.642422
-4.256891,-17.166426,-2.054225
-12.277467,6.435614,2.853889
-7.8865,-16.82645,4.912902
4.13718,-23.673866,-10.807426
2.523489,-10.070012,0.158017
-0.143652,-3.572149,1.862689
1.221043,-7.963114,-0.737414
6.105214,-8.504205,0.306458
-2.925714,-21.298819,5.612009
3.347094,-13.302185,-2.020706
-0.02873,-5.425261,0.8236049999999999
3.4189199999999995,-6.675033999999999,1.158794
1.891419,-11.669339,-1.570596
-1.647211,-5.305551,9.169792
3.399767,-15.586253,-0.8044520000000001
4.572925,0.1819589999999999,32.59945
5.60722,-13.005303,-0.378284
3.672706,-10.874464,-7.058106
1.939303,-9.097966,-2.782062
-0.344765,-4.161122,1.23062
-0.387861,-9.174581,3.031059
-7.359775999999999,-15.322891,0.8523360000000001
11.113884,-19.603724,-3.921702
5.1092260000000005,-15.452178,-1.47004
6.373365,-11.741165,-8.226476
3.2896330000000003,-9.993398,-0.3830719999999999
-2.978387,-3.0502130000000003,1.273715
-4.34787,-9.92636,-1.642422
-4.256891,-17.166426,-2.054225
-12.277467,6.435614,2.853889
-7.8865,-16.82645,4.912902
4.13718,-23.673866,-10.807426
2.523489,-10.070012,0.158017
-0.143652,-3.572149,1.862689
1.221043,-7.963114,-0.737414
6.105214,-8.504205,0.306458
-2.925714,-21.298819,5.612009
3.347094,-13.302185,-2.020706
-4.170699,-15.801731,0.162806
1.173159,-14.092270999999998,-0.636858
1.891419,-11.669339,-1.570596
-1.647211,-5.305551,9.169792
3.399767,-15.586253,-0.8044520000000001
4.572925,0.1819589999999999,32.59945
5.60722,-13.005303,-0.378284
3.672706,-10.874464,-7.058106
1.939303,-9.097966,-2.782062
-0.344765,-4.161122,1.23062
-0.387861,-9.174581,3.031059
-7.359775999999999,-15.322891,0.8523360000000001
11.113884,-19.603724,-3.921702
5.1092260000000005,-15.452178,-1.47004
6.373365,-11.741165,-8.226476
3.2896330000000003,-9.993398,-0.3830719999999999
-2.978387,-3.0502130000000003,1.273715
-4.34787,-9.92636,-1.642422
-4.256891,-17.166426,-2.054225
-12.277467,6.435614,2.853889
-7.8865,-16.82645,4.912902
4.13718,-23.673866,-10.807426
2.523489,-10.070012,0.158017
-0.143652,-3.572149,1.862689
1.221043,-7.963114,-0.737414
6.105214,-8.504205,0.306458
-2.925714,-21.298819,5.612009
3.347094,-13.302185,-2.020706
-4.170699,-15.801731,0.162806
1.173159,-14.092270999999998,-0.636858
1.11091,-8.954314,-8.887277000000001
0.0478839999999999,-8.571242,0.790087
3.399767,-15.586253,-0.8044520000000001
4.572925,0.1819589999999999,32.59945
5.60722,-13.005303,-0.378284
3.672706,-10.874464,-7.058106
1.939303,-9.097966,-2.782062
-0.344765,-4.161122,1.23062
-0.387861,-9.174581,3.031059
-7.359775999999999,-15.322891,0.8523360000000001
